# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\sophia.png	255	0	255
30	textures\area2tiles.png	255	255	255
50	textures\enemies.png	255	255	255
70	textures\jason_items_bullets.png	181	165	213
# id	left	top		right	bottom	texture_id
[SPRITES]
#Sophia
#SOPHIA WALK
#LEFT
10001	3	0	29	18	0
10002	34	0	60	18	0
10003	67	0	93	18	0
10004	99	0	125	18	0
#RIGHT
10005	136	0	162	18	0
10006	168	0	194	18	0
10007	201	0	227	18	0
10008	232	0	258	18	0
#LEFT
10009	2	25	28	43	0
10010	35	25	61	43	0
10011	67	25	93	43	0
10012	99	25	125	43	0
#RIGHT
10013	136	25	162	43	0
10014	168	25	194	43	0
10015	200	25	226	43	0
10016	233	25	259	43	0
#SOPHIA ROTATE
#LEFT
10017	1	101	25	119	0
10018	36	101	60	119	0
10019	68	101	92	119	0
10020	101	101	125	119	0
#RIGHT
10021	136	101	160	119	0
10022	169	101	193	119	0
10023	201	101	225	119	0
10024	236	101	260	119	0
#SOPHIA JUMP
#LEFT
10025	0	125	26	146	0
10026	34	125	60	146	0
10027	67	125	93	146	0
10028	99	125	125	146	0
#RIGHT
10029	136	125	162	146	0
10030	168	125	194	146	0
10031	201	125	227	146	0
10032	235	125	261	146	0
#SOPHIA FALL
#LEFT
10033	2	51	28	69	0
10034	34	51	60	69	0
10035	68	51	94	69	0
10036	99	51	125	69	0
#RIGHT
10037	136	51	162	69	0
10038	167	51	193	69	0
10039	201	51	227	69	0
10040	233	51	259	69	0
#SOPHIA ROTATE JUMP
#LEFT
10041	3	152	26	173	0
10042	37	152	60	173	0
10043	70	152	93	173	0
10044	101	152	124	173	0
#RIGHT
10045	136	152	159	173	0
10046	167	152	190	173	0
10047	200	152	223	173	0
10048	234	152	257	173	0
#LIFTING GUN
#STAGE 1
#LEFT
10049	2	182	28	208	0
10050	36	182	62	208	0
10051	69	182	95	208	0
10052	99	182	125	208	0
#RIGHT
10053	136	182	162	208	0
10054	166	182	192	208	0
10055	199	182	225	208	0
10056	233	182	259	208	0
#STAGE 2
#LEFT
10057	2	213	27	241	0
10058	37	213	62	241	0
10059	70	213	95	241	0
10060	100	213	125	241	0
#RIGHT
10061	136	213	161	241	0
10062	166	213	191	241	0
10063	199	213	224	241	0
10064	234	213	259	241	0
#STAGE 3
#LEFT
10065	2	245	27	275	0
10066	37	245	62	275	0
10067	70	245	95	275	0
10068	100	245	125	275	0
#RIGHT
10069	136	245	161	275	0
10070	164	245	189	275	0
10071	197	245	222	275	0
10072	232	245	257	275	0
#GUN UP
#LEFT
10073	2	278	29	312	0
10074	37	278	64	312	0
10075	68	278	95	312	0
10076	98	278	125	312	0
#RIGHT
10077	136	278	162	312	0
10078	166	278	192	312	0
10079	197	278	223	312	0
10080	232	278	258	312	0

#Worm
20001	46	412	63	422	50
20002	64	412	82	422	50
20003	172	412	190	422	50
20004	191	412	208	422	50

#Sophia bullet
#RIGHT
30001	7	56	15	62	70
30002	7	77	15	83	70
#LEFT
30003	28	56	36	62	70
30004	28	77	36	83	70
#UP
30005	50	55	56	63	70
30006	50	76	56	85	70
#Jason bullet
30007	135	183	139	187	70

#EFFECT
#Bullet explode
40001	176	97	183	105	70
40002	192	94	208	107	70
40003	213	93	229	109	70

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#SOPHIA_IDLE
#LEFT
400	10004	100
401	10003	100
402	10002	100
403	10001	100
#RIGHT
404	10005	100
405	10006	100
406	10007	100
407	10008	100
#LEFT_JUMP
408	10028	100
409	10027	100
410	10026	100
411	10025	100
#RIGHT_JUMP
412	10029	100
413	10030	100
414	10031	100
415	10032	100
#LEFT_FALL
416	10036	100
417	10035	100
418	10034	100
419	10033	100
#RIGHT_FALL
420	10037	100
421	10038	100
422	10039	100
423	10040	100
#SOPHIA_WALK
#LEFT
500	10004	25	10003	25	10002	25	10009	25	10012	25	10011	25	10002	25	10001	25	10004	25	10011	25	10010	25	10009	25
#LEFT_BACKWARD
501	10001	25	10002	25	10003	25	10004	25
#RIGHT
502	10005	25	10006	25	10007	25	10016	25	10013	25	10014	25	10007	25	10008	25	10005	25	10014	25	10015	25	10016	25
#RIGHT_BACKWARD
503	10008	25	10007	25	10006	25	10005	25
#LEFT_JUMP
504	10028	25	10027	25	10026	25	10025	25
#RIGHT_JUMP
505	10029	25	10030	25	10031	25	10032	25
#LEFT_FALL
506	10036	25	10035	25	10034	25	10033	25
#RIGHT_FALL
507	10037	25	10038	25	10039	25	10040	25
#LEFT_GUNUP
508	10076	25	10075	23	10074	25	10073	25
#RIGHT_GUNUP
509	10077	25	10078	25	10079	25	10080	25
#SOPHIA_ROTATE
#LEFT
601	10020	50	10024	50
602	10019	50	10023	50
603	10018	50	10022	50
604	10017	50	10021	50
#RIGHT
605	10021	50	10017	50
606	10022	50	10018	50
607	10023	50	10019	50
608	10024	50	10020	50
#LEFT_JUMP
609	10044	50	10048	50
610	10043	50	10047	50
611	10042	50	10046	50
612	10041	50	10045	50
#RIGHT_JUMP
613	10045	50	10041	50
614	10046	50	10042	50
615	10047	50	10043	50
616	10048	50	10044	50
#LIFTING GUN RIGHT
617	10053	30	10062	30	10071	30	10080	100	10054	30	10063	30	10072	30	10077	100	10055	30	10064	30	10069	30	10078	100	10056	30	10061	30	10070	30	10079	100
#LIFTING GUN LEFT
618	10052	30	10059	30	10066	30	10073	100	10051	30	10058	30	10065	30	10076	100	10050	30	10057	30	10068	30	10075	100	10049	30	10060	30	10067	30	10070	100
#LOWERING GUN RIGHT
619	10069	30	10062	30	10055	30	10070	30	10063	30	10056	30	10071	30	10064	30	10053	30	10072	30	10061	30	10054	30
#LOWERING GUN LEFT
620	10068	30	10059	30	10050	30	10067	30	10058	30	10049	30	10066	30	10057	30	10052	30	10065	30	10060	30	10051	30
#WORM
700	20001	250
701	20004	250
702	20001	250	20002	250
703	20004	250	20003	250
#BULLET
#SOPHIA
#LEFT
801	30001	15	30002	15
#RIGHT
802	30003	15	30004	15
#UP
803	30005	15	30006	15
#JASON
804	30007	1000
#EFFECT
#Bullet explode
901	40001	5	40002	5	40003	15	40002	5	40001	5
#
# id	ani1	ani2	ani3
#
